,Mkt-RF,SMB,HML,RMW,CMA,RF,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
200212,-5.76,0.48,2.25,6.06,-1.61,0.11,-10.0229,-5.8531,-5.4932,-1.7862,-2.3744,-10.2494,-6.9562,-4.7302,-3.2011,-3.3971,-7.5011,-4.4117,-2.8174,-3.9316,-5.9605,-7.198,-4.9502,-3.4805,-4.4461,-1.8456,-6.3155,-5.9406,-3.1304,-4.7013,-8.4045
200301,-2.57,0.81,-0.93,-0.67,0.81,0.1,-0.2997,-0.6219,-1.7798,-0.506,0.2268,-3.5548,-3.1399,-2.6821,-2.0862,-3.2029,-1.6671,-3.798,-3.2124,-4.033,-3.8166,-1.3619,-3.1022,0.007,-2.9972,-6.4714,-2.8004,-2.7657,-1.6056,-5.1067,-4.743
200302,-1.88,-0.92,-1.46,0.72,-0.54,0.09,-6.4507,-2.8193,-2.1644,-1.4269,-2.3393,-2.6636,-1.7927,-2.1851,-2.7437,-6.6572,-4.1669,-0.9109,-2.1988,-3.7594,-3.0832,-3.0798,-1.6608,-2.0816,-1.2464,-6.8624,-0.5328,-3.8529,-2.8716,-3.8423,-5.3043
200303,1.09,0.52,-2.09,1.49,-0.69,0.1,1.8538,1.6902,0.5294,1.7257,-0.164,2.6129,0.5174,0.4357,1.8242,-0.9529,3.2242,0.7127,-0.0687,-0.3849,0.9505,1.3266,-0.6901,0.9052,1.4381,-4.2969,1.9726,0.1777,1.0653,-0.9491,-3.385
200304,8.22,1.03,1.03,-4.89,1.15,0.1,12.3742,11.1907,7.9897,7.2073,9.6408,10.296,9.6451,9.0754,9.6636,9.4,8.8005,8.3801,9.7395,12.0672,10.6261,8.9099,7.4263,10.5779,7.6115,8.7275,7.1768,9.5864,8.4025,10.6574,13.3856
200305,6.05,4.84,-0.3,-6.78,3.22,0.09,20.5603,14.7345,11.8122,9.9638,11.1742,12.9095,10.3399,11.1187,9.3984,9.8087,8.7648,8.6645,9.2183,10.116,8.293,10.2647,9.9516,8.9426,9.7126,9.3329,4.2807,6.5038,6.453,6.571,7.3541
200306,1.42,1.66,0.66,0.51,-0.32,0.1,6.542,4.3056,4.8958,3.8095,5.9214,1.8931,0.3812,1.1598,2.5008,4.0842,2.6212,1.9013,0.1523,0.882,3.8797,1.3005,0.6823,-0.1401,-0.6935,8.0957,0.9689,2.0802,2.5832,-0.9499,3.2236
200307,2.35,4.77,-1.15,-4.14,1.89,0.07,9.0427,7.8077,8.4781,9.2763,7.5361,8.0176,5.7477,6.1202,6.3732,7.6362,7.7162,4.7858,1.6683,4.0643,2.995,3.8031,4.1281,3.1075,6.0373,1.2671,1.2281,3.8397,1.2405,-1.3978,2.8464
200308,2.34,2.59,2.03,-2.42,2.19,0.07,4.5395,4.897,3.9593,4.5168,7.1888,4.4006,3.0488,5.2816,5.2029,6.2878,4.1465,3.9443,4.271,8.6807,7.6944,5.0977,3.7834,4.0448,5.0053,9.5859,1.9451,0.8381,1.0442,2.0792,4.033
200309,-1.24,0.48,0.02,1.13,0.28,0.08,3.3216,0.199,0.2473,2.336,4.7159,-2.3116,-2.2262,-2.4164,-4.3916,-1.1714,-1.9462,-2.8578,-1.9342,-1.7653,-0.4745,-1.7834,-2.2427,-0.9927,-1.0703,0.2092,-0.6462,-1.2809,-1.0027,-3.391,-3.6299
200310,6.08,2.68,1.76,-1.23,1.58,0.07,5.9522,8.9044,7.4736,10.9178,11.3374,9.4184,7.4758,6.7473,10.4946,10.9795,9.1506,6.3421,6.4925,10.2498,11.989,7.7692,8.6692,8.5128,9.3755,8.1687,4.0103,7.522,8.2701,5.6253,4.5567
200311,1.35,2.19,1.86,0.18,1.69,0.07,2.6655,3.4174,4.947,3.6168,6.9356,2.6162,3.4752,2.9737,4.028,3.6871,3.6977,3.0812,1.9229,5.4905,3.0991,1.2885,2.9931,3.6386,3.4275,3.8742,0.8815,0.442,1.0525,0.5637,4.8633
200312,4.29,-2.71,2.42,-0.26,1,0.08,0.3072,2.6496,2.951,1.4473,4.3505,1.3666,2.6451,2.4825,2.3417,3.5316,-0.5522,2.6398,4.1441,1.8528,8.3219,0.8617,3.2753,2.5665,5.0948,2.8161,4.602,5.0768,4.8788,7.4261,6.4486
200401,2.15,2.55,1.97,-3.69,3.34,0.07,5.9371,6.3131,5.4871,6.3019,8.3273,3.3305,3.8184,3.1809,4.1562,7.3136,3.2126,2.0089,1.7986,3.4212,6.3,1.7062,1.4873,4.4753,2.6691,4.7842,1.4533,1.4384,2.9621,1.3093,3.8214
